,Song Title,Artist,Year,Position
80,Ballad of a Teenage Queen,Johnny Cash,1958,81
81,It's Too Soon to Know,Pat Boone,1958,82
82,The Walk,Jimmy McCracklin,1958,83
83,Kewpie Doll,Perry Como,1958,84
84,Why Don't They Understand,George Hamilton Iv,1958,85
85,Dede Dinah,Frankie Avalon,1958,86
86,Sugar Moon,Pat Boone,1958,87
87,Devoted to You,Everly Brothers,1958,88
88,Maybe,Chantels,1958,89
89,Billy,Kathy Linden,1958,90
90,Guess Things Happen That Way,Johnny Cash,1958,91
91,Western Movies,Olympics,1958,92
92,Don't Let Go,Roy Hamilton,1958,93
93,Buzz-Buzz-Buzz,Hollywood Flames,1958,94
94,Breathless,Jerry Lee Lewis,1958,95
95,Jennie Lee,Jan and Arnie,1958,96
96,Poor Boy,Royaltones,1958,97
97,The Story of My Life,Marty Robins,1958,98
98,I'll Wait For You,Frankie Avalon,1958,99
99,Ginger Bread,Frankie Avalon,1958,100
0,The Battle Of New Orleans,Johnny Horton,1959,1
1,Mack The Knife,Bobby Darin,1959,2
2,Personality,Lloyd Price,1959,3
3,Venus,Frankie Avalon,1959,4
4,Lonely Boy,Paul Anka,1959,5
5,Dream Lover,Bobby Darin,1959,6
6,The Three Bells,Browns,1959,7
7,Come Softly To Me,Fleetwoods,1959,8
8,Kansas City,Wilbert Harrison,1959,9
9,Mr. Blue,Fleetwoods,1959,10
10,Sleep Walk,Santo and Johnny,1959,11
11,Put Your Head On My Shoulder,Paul Anka,1959,12
12,Stagger Lee,Lloyd Price,1959,13
13,Donna,Ritchie Valens,1959,14
14,Pink Shoelaces,Dodie Stevens,1959,15
15,Smoke Gets In Your Eyes,Platters,1959,16
16,Charlie Brown,Coasters,1959,17
17,Quiet Village,Martin Denny,1959,18
18,My Heart Is An Open Book,Carl Dobkins Jr.,1959,19
19,('Til) I Kissed You,Everly Brothers,1959,20
20,Sea Of Love,Phil Phillips and The Twilights,1959,21
21,The Happy Organ,"Dave ""Baby"" Cortez",1959,22
22,I'm Gonna Get Married,Lloyd Price,1959,23
23,Sorry (I Ran All The Way Home),Impalas,1959,24
24,A Teenager In Love,Dion and The Belmonts,1959,25
25,16 Candles,Crests,1959,26
26,It's Just A Matter Of Time,Brook Benton,1959,27
27,Lipstick On Your Collar,Connie Francis,1959,28
28,There Goes My Baby,Drifters,1959,29
29,A Big Hunk O' Love,Elvis Presley,1959,30
30,Red River Rock,Johnny and The Hurricanes,1959,31
31,Waterloo,Stonewall Jackson,1959,32
32,Lavender Blue (Dilly Dilly),Sammy Turner,1959,33
33,(Now And Then There's) A Fool Such As I,Elvis Presley,1959,34
34,Guitar Boogie Shuffle,Virtues,1959,35
35,Teen Beat,Sandy Nelson,1959,36
36,Kookie Kookie (Lend Me Your Comb),Edward Burns and Connie Stevens,1959,37
37,Tragedy,Thomas Wayne,1959,38
38,My Happiness,Connie Francis,1959,39
39,Talahassee Lassie,Freddie Cannon,1959,40
40,Tiger,Fabian,1959,41
41,Never Be Anyone Else But You,Ricky Nelson,1959,42
42,Don't You Know,Della Reese,1959,43
43,I Need Your Love Tonight,Elvis Presley,1959,44
44,What A Diff'rence A Day Makes,Dinah Washington,1959,45
45,The All American Boy,Bill Parsons,1959,46
46,Primrose Lane,Jerry Wallace,1959,47
47,Alvin's Harmonica,David Seville and The Chipmunks,1959,48
48,Lonely Street,Andy Williams,1959,49
49,What'd I Say,Ray Charles,1959,50
50,Broken-hearted Melody,Sarah Vaughan,1959,51
51,Only You,Franck Pourcel,1959,52
52,Gotta Travel On,Billy Grammer,1959,53
53,Poison Ivy,Coasters,1959,54
54,Turn Me Loose,Fabian,1959,55
55,Lonely Teardrops,Jackie Wilson,1959,56
56,Hawaiian Wedding Song,Andy Williams,1959,57
57,Forty Miles Of Bad Road,Duane Eddy,1959,58
58,Just Ask Your Heart,Frankie Avalon,1959,59
59,Tell Him No,Travis and Bob,1959,60
60,Frankie,Connie Francis,1959,61
61,I've Had It,Bell Notes,1959,62
62,I Cried A Tear,Lavern Baker,1959,63
63,Enchanted,Platters,1959,64
64,Since I Don't Have You,Skyliners,1959,65
65,Peter Gunn Theme,Ray Anthony,1959,66
66,The Chipmunk Song,David Seville and The Chipmunks,1959,67
67,I Want To Walk You Home,Fats Domino,1959,68
68,So Fine,Fiestas,1959,69
69,Bobby Sox To Stockings,Frankie Avalon,1959,70
70,Deck Of Cards,Wink Martindale,1959,71
71,A Lover's Question,Clyde Mcphatter,1959,72
72,I Only Have Eyes For You,Flamingos,1959,73
73,It's Late,Ricky Nelson,1959,74
74,Petite Fleur,Chris Barber's Jazz Band,1959,75
75,Tall Paul,Annette,1959,76
76,The Tijuana Jail,Kingston Trio,1959,77
77,Just A Little Too Much,Ricky Nelson,1959,78
78,Goodbye Baby,Jack Scott,1959,79
79,Along Came Jones,Coasters,1959,80
80,Three Stars,Tommy Dee and Carol Kay,1959,81
81,A Boy Without A Girl,Frankie Avalon,1959,82
82,Sweeter Than You,Ricky Nelson,1959,83
83,It Was I,Skip and Flip,1959,84
